Ref_Date,GEO,SEAS,PRICES,NAICS,Value
1997/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1046317
1997/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1052908
1997/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1052793
1997/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1059928
1997/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1063696
1997/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1065703
1997/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1077168
1997/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1078500
1997/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1080331
1997/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1084502
1997/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1085313
1997/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1095145
1998/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1090467
1998/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1100979
1998/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1105001
1998/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1105729
1998/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1103896
1998/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1103839
1998/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1103728
1998/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1114650
1998/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1118576
1998/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1124026
1998/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1127407
1998/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1138310
1999/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1142639
1999/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1148650
1999/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1149382
1999/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1157593
1999/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1159874
1999/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1168148
1999/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1174866
1999/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1181059
1999/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1189048
1999/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1192608
1999/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1202590
1999/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1210599
2000/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1216821
2000/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1217080
2000/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1227255
2000/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1225970
2000/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1232911
2000/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1237501
2000/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1240239
2000/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1244766
2000/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1246969
2000/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1249249
2000/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1250028
2000/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1253076
2001/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1253028
2001/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1252494
2001/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1253017
2001/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1251590
2001/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1256507
2001/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1254970
2001/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1252539
2001/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1256046
2001/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1248547
2001/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1253408
2001/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1260530
2001/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1258156
2002/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1270642
2002/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1276616
2002/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1274492
2002/04,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1282839
2002/05,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1284200
2002/06,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1285284
2002/07,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1290066
2002/08,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1294832
2002/09,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1291955
2002/10,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1299960
2002/11,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1299740
2002/12,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1296349
2003/01,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1303738
2003/02,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1307841
2003/03,Canada,Seasonally adjusted at annual rates,Chained (2007) dollars,All industries,1307066
