,2/15/2006,5/15/2006,8/15/2006,11/15/2006,2/15/2007,5/15/2007,8/15/2007,11/15/2007,2/15/2008,5/15/2008,8/15/2008,11/15/2008,2/15/2009,5/15/2009,8/15/2009,11/15/2009,2/15/2010,5/15/2010,8/15/2010,11/15/2010
1,0,0,0,0.0009,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.0004,0.0009,0.0006,0,0.001,0,0,0,0,0.001,0.001,0,0.001,0,0,0.001,0,0,0
4,0.0022,0.0074,0.0017,0.0032,0.0035,0.001,0.001,0.001,0.003,0.002,0.001,0.001,0.003,0.001,0,0.001,0.002,0.001,0.001,0.001
5,0.0025,0,0,0.0014,0.0007,0.002,0.001,0.002,0.002,0.003,0.001,0.003,0.005,0,0.001,0,0,0,0.002,0
6,0.0002,0,0.0025,0.0026,0.0045,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.006,0.002,0,0,0.002,0,0.001,0
7,0,0.0007,0.0023,0.0019,0.0016,0.001,0.001,0.002,0.003,0.003,0.001,0.001,0,0.001,0,0,0,0,0,0.001
8,0.002,0,0.0042,0.0016,0.001,0.001,0.003,0.004,0.004,0.001,0.002,0.001,0.004,0,0.001,0,0,0.001,0.001,0.002
9,0.0005,0.0017,0.0026,0.0031,0.0004,0.001,0.003,0.002,0.003,0.002,0.003,0.003,0.001,0,0.001,0.001,0.002,0,0.002,0.001
10,0.0003,0.0018,0.0015,0.0027,0.0024,0,0.004,0.003,0.003,0.001,0,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0
11,0.0022,0.0023,0.0011,0.0006,0.0016,0.002,0.002,0.001,0.004,0.003,0.003,0.004,0,0.001,0.002,0,0.001,0.001,0.001,0
12,0.001,0.0007,0.0034,0.0015,0.0003,0,0.004,0.002,0.003,0.001,0.003,0.001,0.004,0,0.002,0,0.001,0,0.001,0
13,0.001,0.0012,0.0016,0.0023,0.0024,0.002,0.002,0.006,0.006,0.002,0.003,0.003,0,0.005,0.001,0.002,0.003,0.003,0.002,0.000887628
14,0.0035,0.0003,0.002,0.0013,0.0029,0.002,0.002,0.003,0.005,0.004,0.002,0.002,0.002,0,0.001,0.001,0.001,0,0.001,0.000658858
15,0.0023,0.0025,0.0009,0.0005,0.0007,0.003,0.002,0.004,0.003,0.005,0.006,0.002,0,0.001,0,0.001,0.002,0,0.001,0.000675329
16,0.0056,0.0004,0,0.0008,0.0036,0.003,0.004,0.003,0.005,0.004,0.002,0.003,0.001,0.001,0.003,0,0,0,0.001449291,0.000747608
17,0.0017,0.0007,0,0.0011,0.0022,0.002,0.001,0.007,0.007,0.002,0.003,0.002,0.001,0,0.001,0.001,0,0,0.001202838,0.000620477
18,0,0.0015,0.0002,0.0016,0.0019,0.002,0.003,0.004,0.003,0.002,0.004,0.002,0.001,0.001,0,0.001,0,0.002,0.001110878,0.000573039
19,0.0013,0.0012,0.0006,0.0013,0.0052,0.003,0.003,0.004,0.006,0.002,0.002,0.003,0.003,0,0,0.001,0.001,0.000633397,0.001406378,0.000725472
20,0.0004,0.0005,0.0042,0.0023,0.0011,0.001,0.002,0.003,0.002,0.003,0.001,0.002,0.001,0,0.001,0,0,0.000412718,0.00091639,0.000472714
21,0.0037,0.0003,0.0017,0.0007,0.0019,0,0.003,0.006,0.003,0.001,0.002,0.002,0.002,0,0.002,0,0,0.000493578,0.001095928,0.000565328
22,0.0019,0.0003,0.0034,0.0007,0.0013,0.004,0.004,0.003,0,0.002,0.004,0.004,0.003,0,0,0,0.000977972,0.000548797,0.001218536,0.000628574
23,0.0011,0.0008,0.0017,0.0007,0.0005,0.005,0.007,0.002,0.003,0.003,0.003,0.002,0.002,0.001,0.001,0,0.001046059,0.000587005,0.001303371,0.000672336
24,0.0008,0.0006,0.0034,0.0033,0.0007,0.002,0.004,0.003,0.005,0.001,0.002,0.001,0.003,0.001,0.001,0,0.000984162,0.000552271,0.001226248,0.000632553
25,0,0.0003,0.003,0.001,0.0011,0.003,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.000430479,0.000861311,0.000483332,0.001073178,0.000553593
26,0.0009,0.0026,0.0008,0.0016,0.0033,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0,0.000505892,0.001012198,0.000568003,0.00126118,0.000650572
27,0.001,0.0002,0.0008,0.0009,0.0026,0.003,0.003,0.002,0.003,0.004,0.003,0.008,0.004,0,0.001,0.000573449,0.001147367,0.000643855,0.001429599,0.00073745
28,0.0005,0,0.0008,0.0026,0.001,0.002,0.003,0.003,0.002,0.002,0.001,0.006,0.004,0,0.000823356,0.00045127,0.00090291,0.000506676,0.00112501,0.00058033
29,0.0018,0.0012,0.0002,0.0021,0.0024,0.003,0.003,0.005,0.002,0.002,0,0.003,0,0,0.000758432,0.000415686,0.000831713,0.000466723,0.0010363,0.000534569
30,0.0014,0.0018,0.0024,0.0029,0.0011,0.003,0.001,0.004,0.003,0.003,0.005,0.004,0.002,0.001,0.00105059,0.000575814,0.001152101,0.000646511,0.001435497,0.000740493
31,0.0007,0.0042,0.0018,0.0026,0.0002,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0,0.000550847,0.00059172,0.000324314,0.000648893,0.000364132,0.000808509,0.000417065
32,0.0019,0.0004,0.0023,0.0022,0.0004,0.003,0.002,0.003,0.001,0.004,0.002,0,0.003,0.000711864,0.000764684,0.000419113,0.00083857,0.00047057,0.001044843,0.000538976
33,0,0.0017,0.0031,0.0017,0.001,0.002,0.001,0.004,0.001,0.003,0.001,0.003,0,0.000635593,0.000682754,0.000374208,0.000748723,0.000420152,0.000932895,0.000481229
34,0.0007,0.0015,0.0025,0.0017,0.0013,0.003,0.001,0.001,0.002,0.002,0.002,0.002,0.001608535,0.000630185,0.000676944,0.000371024,0.000742352,0.000416577,0.000924957,0.000477133
35,0,0.0014,0.0019,0.0007,0.0017,0.003,0.002,0.001,0.001,0.005,0.002,0.002,0.001686242,0.000660628,0.000709646,0.000388948,0.000778214,0.000436701,0.000969641,0.000500183
36,0.001,0.0013,0.0018,0.0015,0.0016,0.001,0.002,0.002,0.002,0.001,0,0,0.001181146,0.000462744,0.000497079,0.000272443,0.000545108,0.000305892,0.000679195,0.000350359
37,0.0016,0.0005,0.0022,0.0023,0.0023,0.001,0.003,0.001,0.002,0.002,0.005,0.002369172,0.001963592,0.000769287,0.000826367,0.000452921,0.000906213,0.000508529,0.001129125,0.000582453
38,0,0.002,0.002,0.002,0.0017,0.002,0.001,0.004,0.002,0.003,0.002,0.002245024,0.001860696,0.000728975,0.000783064,0.000429187,0.000858726,0.000481881,0.001069957,0.000551931
39,0.0013,0.0006,0.0014,0.0018,0.0017,0.001,0.001,0.003,0.001,0.001,0.001,0.001531168,0.001269046,0.000497181,0.000534072,0.000292717,0.000585675,0.000328656,0.00072974,0.000376432
40,0,0.0001,0.0013,0,0.0022,0.001,0.001,0.002,0.002,0.002,0.00123172,0.001327535,0.001100273,0.00043106,0.000463044,0.000253788,0.000507785,0.000284948,0.000632691,0.00032637
41,0.0012,0.0004,0.0006,0.0011,0.0003,0.001,0.003,0.003,0.001,0,0.00123172,0.001327535,0.001100273,0.00043106,0.000463044,0.000253788,0.000507785,0.000284948,0.000632691,0.00032637
42,0.0036,0.002,0.0013,0.0007,0,0.001,0,0.002,0.001,0.001,0.001337903,0.001441978,0.001195125,0.00046822,0.000502962,0.000275667,0.000551559,0.000309512,0.000687233,0.000354505
43,0,0.0012,0.0011,0,0,0.001,0.001,0.003,0.002,0.001228659,0.001117962,0.001204928,0.000998655,0.000391249,0.000420279,0.000230349,0.000460887,0.000258631,0.000574257,0.000296227
44,0.001,0.0015,0.0006,0.0015,0.0008,0.001,0.002,0.001,0,0.00124187,0.001129983,0.001217884,0.001009394,0.000395456,0.000424798,0.000232826,0.000465843,0.000261412,0.000580432,0.000299412
45,0,0,0.0009,0.0002,0.0011,0.003,0.002,0.003,0.003,0.001743902,0.001586785,0.00171022,0.001417446,0.000555321,0.000596525,0.000326947,0.000654163,0.000367089,0.000815075,0.000420452
